order_id,customer_id,warehouse_id,order_date,shipper_date
789,3731,8118,01/01/2019,01/04/2019
790,3486,8118,1/1/2019,1/4/2019
791,2623,8118,1/1/2019,1/4/2019
792,9869,8118,1/1/2019,1/4/2019
793,6866,8118,1/1/2019,1/4/2019
794,8055,8118,1/1/2019,1/4/2019
795,1152,8118,1/1/2019,1/4/2019
796,5765,8118,1/1/2019,1/4/2019
797,6709,8118,1/1/2019,1/4/2019
798,4866,2666,1/1/2019,1/4/2019
799,4515,2666,1/1/2019,1/4/2019
800,9618,2666,1/1/2019,1/4/2019
801,2337,2666,1/1/2019,1/4/2019
802,1166,2666,1/1/2019,1/4/2019
803,4376,2666,1/1/2019,1/4/2019
804,9832,2666,1/1/2019,1/4/2019
805,6046,9080,1/1/2019,1/4/2019
806,6046,1543,1/1/2019,1/4/2019
807,3710,6509,1/1/2019,1/4/2019
808,7025,6509,1/1/2019,1/4/2019
809,7834,6509,1/1/2019,1/4/2019
810,3260,6509,1/1/2019,1/4/2019
811,8952,6509,1/1/2019,1/4/2019
812,3715,6509,1/1/2019,1/4/2019
813,6894,6509,1/1/2019,1/4/2019
814,1258,6509,1/1/2019,1/4/2019
815,9303,6509,1/1/2019,1/4/2019
816,6884,6509,1/1/2019,1/4/2019
817,8149,4338,1/1/2019,1/4/2019
818,7707,8118,01/02/2019,01/05/2019
819,4294,8118,01/02/2019,01/05/2019
820,5035,8118,1/2/2019,1/5/2019
821,9273,8118,1/2/2019,1/5/2019
822,2622,8118,1/2/2019,1/5/2019
823,7469,8118,1/2/2019,1/5/2019
824,3972,2666,1/2/2019,1/5/2019
825,5362,2666,1/2/2019,1/5/2019
826,1921,2666,1/2/2019,1/5/2019
827,6263,2666,1/2/2019,1/5/2019
828,8095,2666,1/2/2019,1/5/2019
829,5608,2666,1/2/2019,1/5/2019
830,9743,9080,1/2/2019,1/5/2019
831,8834,6509,1/2/2019,1/5/2019
832,3679,6509,1/2/2019,1/5/2019
833,9682,6509,1/2/2019,1/5/2019
834,7846,6509,1/2/2019,1/5/2019
835,2936,6509,1/2/2019,1/5/2019
836,7461,8118,1/3/2019,1/6/2019
837,4934,8118,1/3/2019,1/6/2019
838,2497,8118,1/3/2019,1/6/2019
839,6789,8118,1/3/2019,1/6/2019
840,5394,8118,1/3/2019,1/6/2019
841,1078,8118,1/3/2019,1/6/2019
842,9727,8118,1/3/2019,1/6/2019
843,3872,8118,1/3/2019,1/6/2019
844,6633,8118,1/3/2019,1/6/2019
845,5642,8118,1/3/2019,1/6/2019
846,6326,8118,1/3/2019,1/6/2019
847,5097,8118,1/3/2019,1/6/2019
848,1707,8118,1/3/2019,1/6/2019
849,9772,2666,1/3/2019,1/6/2019
850,5053,2666,1/3/2019,1/6/2019
851,7170,2666,1/3/2019,1/6/2019
852,2592,2666,1/3/2019,1/6/2019
853,1514,2666,1/3/2019,1/6/2019
854,3411,2666,1/3/2019,1/6/2019
855,7515,2666,1/3/2019,1/6/2019
856,4479,2666,1/3/2019,1/6/2019
857,5747,2666,1/3/2019,1/6/2019
858,5208,2666,1/3/2019,1/6/2019
859,8193,9080,1/3/2019,1/6/2019
860,3194,1543,1/3/2019,1/6/2019
861,6622,1543,1/3/2019,1/6/2019
862,8088,1543,1/3/2019,1/6/2019
863,3942,6509,1/3/2019,1/6/2019
864,1142,6509,1/3/2019,1/6/2019
865,5435,6509,1/3/2019,1/6/2019
866,2666,6509,1/3/2019,1/6/2019
