ProductId,StoreId,StoreName,Address,neighborhood,QuantityAvailable
1,85123,National Stores,9 Springview Point,Bolton Hill,11
2,71053,Family Dollar,5434 Daystar Circle,Ashburton,1
3,84406,BJ's Wholesale Club,3 Darwin Drive,Morrell Park,11
4,84029,Ocean State Job Lot,684 Bunting Lane,Fells Point,1
5,37444,Ollie's Bargain Outlet,50162 John Wall Drive,Charles Village,3
6,84406,BJ's Wholesale Club,8 Fordem Pass,Morrell Park,9
7,84406,BJ's Wholesale Club,89058 Monument Hill,Morrell Park,4
8,22752,Costco,1 Clarendon Way,Baltimore Highlands,3
9,21730,Fred's,629 Crescent Oaks Center,Pulaski Industrial Area,8
10,22633,Big Lots,175 Kim Place,Brooklyn,7
11,22632,HomeGoods,689 Vera Pass,Hunting Ridge,4
12,22632,HomeGoods,78107 Logan Plaza,Hunting Ridge,2
13,84879,Ben Franklin,28413 Knutson Park,Bridgeview/Greenlawn,9
14,37444,Ollie's Bargain Outlet,828 Iowa Parkway,Charles Village,11
15,22745,Burlington Coat Factory,28352 Tennyson Court,Upton,1
16,84029,Ocean State Job Lot,0 Cottonwood Pass,Fells Point,5
17,22748,Renys,14 Mayfield Alley,Port Covington,5
18,22749,Gabe's,010 Lunder Avenue,Oliver,9
19,22310,Meijer,0 Dryden Park,Ellwood Park/Monument,4
20,22632,HomeGoods,92 Heffernan Trail,Hunting Ridge,5
21,84969,Dd's Discounts,634 Jackson Parkway,Canton,2
22,37444,Ollie's Bargain Outlet,5 Warner Parkway,Charles Village,4
23,22623,Gordmans,353 Blackbird Avenue,Hampden,3
24,22622,Target,4496 Killdeer Court,Hoes Heights,3
25,71053,Family Dollar,4 Charing Cross Plaza,Ashburton,1
26,21730,Fred's,5995 Merchant Trail,Pulaski Industrial Area,11
27,21754,Ross Stores,023 Coleman Place,Better Waverly,2
28,21755,Tuesday Morning,84269 Crescent Oaks Way,Belair-Edison,10
29,21777,Walmart,2 Laurel Drive,Sabina-Mattfeldt,5
30,48187,Dollar General,42385 Lighthouse Bay Hill,Glen Oaks,12
31,84879,Ben Franklin,9 Melvin Way,Bridgeview/Greenlawn,11
32,84969,Dd's Discounts,4416 Barby Terrace,Canton,7
33,84879,Ben Franklin,496 Cambridge Plaza,Bridgeview/Greenlawn,7
34,84969,Dd's Discounts,375 Bellgrove Point,Canton,3
35,22960,Harbor Freight Tools,40020 Morningstar Crossing,Loch Raven,8
36,71053,Family Dollar,39 Graceland Place,Ashburton,5
37,85123,National Stores,8 Hudson Crossing,Bolton Hill,4
38,22749,Gabe's,55 Bonner Lane,Oliver,9
39,22748,Renys,24 American Ash Plaza,Port Covington,4
40,48187,Dollar General,5657 Daystar Way,Glen Oaks,7
41,22960,Harbor Freight Tools,25036 Division Terrace,Loch Raven,9
42,22913,Stein Mart,8668 Lakewood Gardens Road,Gay Street,6
43,22623,Gordmans,4621 Burrows Hill,Hampden,10
44,22912,Marshalls,00189 Jana Plaza,Central Park Heights,5
45,22745,Burlington Coat Factory,1 Drewry Circle,Upton,3
46,22913,Stein Mart,42543 Chinook Road,Gay Street,9
47,22914,Five Below,7329 Esch Avenue,Washington Village,11
48,84969,Dd's Discounts,2 Morrow Avenue,Canton,11
49,21756,Roses,0 4th Pass,Frankford,8
50,22728,HomeSense,737 Caliangt Road,Glenham-Belford,6
51,22632,HomeGoods,41 Knutson Court,Hunting Ridge,7
52,22912,Marshalls,25554 Laurel Alley,Central Park Heights,1
53,22727,Fred Meyer,1538 Steensland Park,Charles Village,10
54,22726,Shopko,421 Randy Lane,Millhill,6
55,22752,Costco,9 Dwight Plaza,Baltimore Highlands,10
56,85123,National Stores,54321 Waxwing Crossing,Bolton Hill,2
57,21754,Ross Stores,71 Dayton Plaza,Better Waverly,6
58,22633,Big Lots,868 Atwood Park,Brooklyn,10
59,71053,Family Dollar,7 Ronald Regan Park,Ashburton,9
60,22748,Renys,8 Melvin Drive,Port Covington,6
61,84969,Dd's Discounts,645 Pierstorff Terrace,Canton,5
62,21755,Tuesday Morning,709 6th Circle,Belair-Edison,7
63,22748,Renys,6553 Maryland Center,Port Covington,2
64,21724,Kmart,89062 Eggendart Avenue,Cherry Hill,12
65,22310,Meijer,8 Clove Center,Ellwood Park/Monument,12
66,48187,Dollar General,23 6th Drive,Glen Oaks,9
67,22912,Marshalls,2 Lawn Terrace,Central Park Heights,4
68,21756,Roses,82 Golf Plaza,Frankford,2
69,21777,Walmart,6 Ridgeway Hill,Sabina-Mattfeldt,6
70,84406,BJ's Wholesale Club,2 Brown Plaza,Morrell Park,12
71,37444,Ollie's Bargain Outlet,0317 Pond Hill,Charles Village,1
72,22622,Target,4 4th Terrace,Hoes Heights,11
73,22960,Harbor Freight Tools,88199 Golf Course Center,Loch Raven,4
74,21883,Bi-Mart,2 Nelson Alley,Washington Village,1
75,84406,BJ's Wholesale Club,9565 Arkansas Plaza,Morrell Park,8
76,22912,Marshalls,9 Iowa Terrace,Central Park Heights,12
77,22726,Shopko,02074 North Center,Millhill,2
78,22310,Meijer,8132 High Crossing Street,Ellwood Park/Monument,10
79,10002,T.J. Maxx,4591 Crownhardt Place,Seton Business Park,9
80,22622,Target,93 Basil Trail,Hoes Heights,2
81,84879,Ben Franklin,2373 Derek Plaza,Bridgeview/Greenlawn,8
82,22632,HomeGoods,85 Hayes Crossing,Hunting Ridge,8
83,22727,Fred Meyer,90 Dawn Point,Charles Village,8
84,22912,Marshalls,96 Crownhardt Court,Central Park Heights,5
85,21756,Roses,165 Moland Pass,Frankford,2
86,85123,National Stores,7588 Hudson Hill,Bolton Hill,12
87,10002,T.J. Maxx,19077 Service Drive,Seton Business Park,10
88,37444,Ollie's Bargain Outlet,08032 Pennsylvania Avenue,Charles Village,3
89,21754,Ross Stores,666 Helena Parkway,Better Waverly,3
90,22960,Harbor Freight Tools,01238 Sugar Parkway,Loch Raven,1
91,22727,Fred Meyer,07 Nobel Pass,Charles Village,2
92,22752,Costco,26220 Gale Place,Baltimore Highlands,11
93,22623,Gordmans,07 Carpenter Place,Hampden,3
94,22633,Big Lots,6086 Spenser Plaza,Brooklyn,10
95,22623,Gordmans,86944 Darwin Plaza,Hampden,9
96,22913,Stein Mart,65 School Alley,Gay Street,11
97,10002,T.J. Maxx,46172 Marquette Park,Seton Business Park,1
98,22745,Burlington Coat Factory,00 Crescent Oaks Circle,Upton,9
99,21724,Kmart,82984 Northridge Junction,Cherry Hill,1
100,84969,Dd's Discounts,7 Gina Street,Canton,7
101,84406,BJ's Wholesale Club,9 Kipling Road,Morrell Park,11
102,22632,HomeGoods,6286 Knutson Alley,Hunting Ridge,12
103,21756,Roses,92300 Granby Point,Frankford,10
104,22310,Meijer,98 Arkansas Crossing,Ellwood Park/Monument,6
105,22749,Gabe's,46564 Dixon Drive,Oliver,11
106,22726,Shopko,0301 Melody Crossing,Millhill,3
