NEW VENUE DATA:,Venue purchase date,Purchase price (cost),2019 events (held at new venue),Revenue of event,Net profit in 2019
,"October 4, 2018","$138,600.00",Event 1,"$2,621.00","$120,125.00"
,,,Event 2,$700.00,
,,,Event 3,"$2,697.00",
,,,Event 4,"$2,547.00",
,,,Event 5,"$2,787.00",
,,,Event 6,"$3,156.00",
,,,Event 7,"$4,140.00",
,,,Event 8,"$1,897.00",
,,,Event 9,"$1,987.00",
,,,Event 10,"$1,511.00",
,,,Event 11,"$4,773.00",
,,,Event 12,"$4,888.00",
,,,Event 13,"$3,212.00",
,,,Event 14,"$1,261.00",
,,,Event 15,"$1,979.00",
,,,Event 16,"$1,503.00",
,,,Event 17,"$2,371.00",
,,,Event 18,"$1,035.00",
,,,Event 19,"$1,647.00",
,,,Event 20,"$2,523.00",
,,,Event 21,"$1,315.00",
,,,Event 22,"$4,258.00",
,,,Event 23,"$3,007.00",
,,,Event 24,"$3,243.00",
,,,Event 25,"$1,478.00",
,,,Event 26,"$3,354.00",
,,,Event 27,"$2,626.00",
,,,Event 28,"$2,850.00",
,,,Event 29,$754.00,
,,,Event 30,"$1,343.00",
,,,Event 31,$584.00,
,,,Event 32,"$1,195.00",
,,,Event 33,$783.00,
,,,Event 34,"$2,422.00",
,,,Event 35,"$2,492.00",
,,,Event 36,"$3,634.00",
,,,Event 37,"$3,665.00",
,,,Event 38,"$1,414.00",
,,,Event 39,"$4,616.00",
,,,Event 40,$928.00,
,,,Event 41,"$2,610.00",
,,,Event 42,"$1,722.00",
,,,Event 43,"$3,663.00",
,,,Event 44,"$1,701.00",
,,,Event 45,$827.00,
,,,Event 46,"$1,997.00",
,,,Event 47,"$2,789.00",
,,,Event 48,"$1,784.00",
,,,Event 49,"$1,531.00",
,,,Event 50,"$3,459.00",
,,,Event 51,"$3,927.00",
,,,Event 52,"$1,665.00",
,,,Event 53,"$1,171.00",
,,,Event 54,"$3,148.00",
,,,Event 55,"$2,328.00",
,,,Event 56,"$2,232.00",
,,,Event 57,"$1,575.00",
,,,Event 58,"$1,521.00",
,,,Event 59,"$1,027.00",
,,,Event 60,"$2,761.00",
,,,Event 61,"$1,904.00",
,,,Event 62,$937.00,
,,,Event 63,$564.00,
